K,N,M,T,Baseline Cycles,Baseline Performance,WIP Scalar Cycles,WIP Scalar Performance,Josua Cycles,Josua Performance
4,4,16,12,38370.000000,0.460000,30635.000000,0.580000,29359.000000,0.600000
4,4,16,16,49622.000000,0.470000,41183.000000,0.570000,42863.000000,0.540000
4,4,16,20,123235.000000,0.240000,108403.000000,0.270000,109655.000000,0.260000
4,4,16,24,77367.000000,0.450000,66087.000000,0.520000,62529.000000,0.550000
4,4,16,28,123551.000000,0.330000,107728.000000,0.370000,100661.000000,0.400000
4,4,20,4,14798.000000,0.450000,13572.000000,0.490000,13452.000000,0.490000
4,4,20,8,28065.000000,0.440000,23486.000000,0.520000,22342.000000,0.550000
4,4,20,12,42477.000000,0.420000,34538.000000,0.520000,33833.000000,0.530000
4,4,20,16,55129.000000,0.430000,48776.000000,0.480000,51225.000000,0.460000
4,4,20,20,85553.000000,0.340000,67281.000000,0.430000,69883.000000,0.420000
4,4,20,24,156765.000000,0.220000,132114.000000,0.260000,134286.000000,0.260000
4,4,20,28,147936.000000,0.270000,125262.000000,0.320000,129553.000000,0.310000
4,4,24,4,16644.000000,0.410000,15604.000000,0.440000,13875.000000,0.500000
4,4,24,8,31233.000000,0.400000,26552.000000,0.470000,25133.000000,0.500000
4,4,24,12,47124.000000,0.390000,40435.000000,0.450000,36725.000000,0.500000
4,4,24,16,62839.000000,0.380000,54226.000000,0.440000,55601.000000,0.430000
4,4,24,20,91951.000000,0.320000,71894.000000,0.410000,74529.000000,0.400000
4,4,24,24,103971.000000,0.340000,83787.000000,0.420000,86123.000000,0.410000
4,4,24,28,153093.000000,0.270000,137256.000000,0.300000,141492.000000,0.290000
4,4,28,4,17777.000000,0.400000,16625.000000,0.430000,14807.000000,0.490000
4,4,28,8,35939.000000,0.360000,29242.000000,0.440000,27390.000000,0.470000
4,4,28,12,50951.000000,0.360000,44322.000000,0.420000,39117.000000,0.470000
4,4,28,16,68416.000000,0.350000,58926.000000,0.410000,60552.000000,0.400000
4,4,28,20,100446.000000,0.300000,87218.000000,0.340000,85386.000000,0.350000
4,4,28,24,116586.000000,0.300000,92142.000000,0.390000,93424.000000,0.380000
4,4,28,28,127204.000000,0.320000,108301.000000,0.380000,108876.000000,0.380000
4,8,4,4,21662.000000,0.870000,18053.000000,1.050000,17230.000000,1.100000
4,8,4,8,41325.000000,0.950000,31768.000000,1.240000,31704.000000,1.240000
4,8,4,12,62495.000000,0.960000,47034.000000,1.270000,46693.000000,1.280000
4,8,4,16,83566.000000,0.960000,63426.000000,1.270000,64024.000000,1.260000
4,8,4,20,107622.000000,0.940000,82922.000000,1.220000,82545.000000,1.220000
4,8,4,24,128003.000000,0.950000,97186.000000,1.250000,96700.000000,1.260000
4,8,4,28,152193.000000,0.930000,116537.000000,1.220000,115735.000000,1.230000
4,8,8,4,24477.000000,0.790000,20879.000000,0.930000,20240.000000,0.960000
4,8,8,8,47478.000000,0.840000,41110.000000,0.970000,37723.000000,1.060000
4,8,8,12,81991.000000,0.740000,67653.000000,0.890000,67538.000000,0.900000
4,8,8,16,107029.000000,0.760000,86639.000000,0.930000,89450.000000,0.910000
4,8,8,20,118975.000000,0.850000,93360.000000,1.090000,94256.000000,1.080000
4,8,8,24,140917.000000,0.870000,110563.000000,1.100000,109805.000000,1.110000
4,8,8,28,167962.000000,0.850000,132737.000000,1.070000,130872.000000,1.090000
4,8,12,4,26730.000000,0.750000,23676.000000,0.850000,22443.000000,0.890000
4,8,12,8,52786.000000,0.770000,42078.000000,0.960000,41924.000000,0.970000
4,8,12,12,80816.000000,0.760000,68594.000000,0.890000,61231.000000,1.000000
4,8,12,16,117750.000000,0.690000,96199.000000,0.850000,88978.000000,0.920000
4,8,12,20,153295.000000,0.670000,122861.000000,0.830000,125509.000000,0.810000
4,8,12,24,165333.000000,0.740000,133447.000000,0.920000,123605.000000,0.990000
4,8,12,28,208325.000000,0.690000,170105.000000,0.840000,167493.000000,0.850000
4,8,16,4,29396.000000,0.700000,26218.000000,0.790000,24938.000000,0.830000
4,8,16,8,58754.000000,0.700000,46079.000000,0.890000,47277.000000,0.870000
4,8,16,12,91811.000000,0.670000,70093.000000,0.880000,68510.000000,0.900000
4,8,16,16,118026.000000,0.700000,95060.000000,0.860000,99183.000000,0.830000
4,8,16,20,175468.000000,0.580000,138730.000000,0.740000,142768.000000,0.720000
4,8,16,24,228817.000000,0.540000,190128.000000,0.650000,190311.000000,0.650000
4,8,16,28,257867.000000,0.560000,214372.000000,0.670000,215723.000000,0.670000
4,8,20,4,32226.000000,0.660000,28808.000000,0.740000,27410.000000,0.770000
4,8,20,8,64461.000000,0.650000,50337.000000,0.830000,49984.000000,0.830000
4,8,20,12,100985.000000,0.620000,77566.000000,0.800000,73873.000000,0.840000
4,8,20,16,128624.000000,0.640000,105645.000000,0.780000,111246.000000,0.740000
4,8,20,20,198279.000000,0.520000,139486.000000,0.740000,150657.000000,0.690000
4,8,20,24,237803.000000,0.520000,198402.000000,0.620000,202768.000000,0.610000
4,8,20,28,264786.000000,0.540000,240344.000000,0.600000,227124.000000,0.640000
4,8,24,4,35343.000000,0.620000,31578.000000,0.690000,29919.000000,0.730000
4,8,24,8,70428.000000,0.600000,54311.000000,0.780000,54359.000000,0.780000
4,8,24,12,101137.000000,0.620000,84514.000000,0.740000,79727.000000,0.790000
4,8,24,16,138155.000000,0.600000,115089.000000,0.720000,119660.000000,0.700000
4,8,24,20,199265.000000,0.520000,154597.000000,0.670000,165997.000000,0.630000
4,8,24,24,232656.000000,0.530000,182101.000000,0.680000,206190.000000,0.600000
